year,month,date,postcodes,energy_kwh,energy_standardized
2023,1,2023-01,1000,13064590.186,2.071270465952709
2023,2,2023-02,1000,11791621.134,0.3960701125132101
2023,3,2023-03,1000,11677077.598,0.2453332413458109
2023,4,2023-04,1000,10159870.452,-1.7512792789875828
2023,5,2023-05,1000,10810723.143,-0.8947709009659564
2023,6,2023-06,1000,11104786.487,-0.5077897587076751
2023,7,2023-07,1000,11518000.587,0.03599125881087433
2023,8,2023-08,1000,11287512.365,-0.2673263672943359
2023,9,2023-09,1000,11087458.007,-0.5305936719488982
2023,10,2023-10,1000,11549765.017,0.07779257698055345
2023,11,2023-11,1000,11288401.982,-0.2661556501347276
2023,12,2023-12,1000,12548007.042,1.3914579724360254
2023,1,2023-01,1050,21471424.297,0.5870515297557597
2023,2,2023-02,1050,19425628.126,-1.3946302581899843
2023,3,2023-03,1050,20386995.81,-0.46339142906892833
2023,4,2023-04,1050,19317524.252,-1.4993462026955708
2023,5,2023-05,1050,20471496.585,-0.38153887246601276
2023,6,2023-06,1050,21141962.93,0.267915342059959
2023,7,2023-07,1050,22429570.611,1.5151699452443526
2023,8,2023-08,1050,22425864.291,1.5115797797389054
2023,9,2023-09,1050,21272011.364,0.3938881133760242
2023,10,2023-10,1050,21371327.887,0.49009209872955384
2023,11,2023-11,1050,19805366.023,-1.0267931855895995
2023,12,2023-12,1050,20865382.824,3.1391055519219823e-6
2023,1,2023-01,1070,15381701.005,1.6217114263528034
2023,2,2023-02,1070,13896391.682,-0.791810637169647
2023,3,2023-03,1070,14279583.827,-0.16915064156818366
2023,4,2023-04,1070,13221606.638,-1.8882883651485793
2023,5,2023-05,1070,13859565.737,-0.8516501799445124
2023,6,2023-06,1070,14196495.111,-0.30416389853119186
2023,7,2023-07,1070,14699747.179,0.513584937231889
2023,8,2023-08,1070,14842960.689,0.7462967103468365
2023,9,2023-09,1070,14279691.011,-0.16897647518758424
2023,10,2023-10,1070,14796410.517,0.6706559899642035
2023,11,2023-11,1070,13984944.939,-0.6479178895400867
