lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year,county,country
37.5,-7.5,10.1,12.6,12.97,14.87,21.6,24.62,29.97,27.28,23.45,21.49,15.4,13.59,18.99,Faro,Portugal
37.5,-8.125,9.59,11.87,12.2,13.81,20.26,22.76,27.95,25.29,21.93,20.45,14.87,13.47,17.87,Beja,Portugal
38,-8.75,11.65,13.08,13.6,14.79,19.84,21.07,24.39,22.33,21.45,19.96,16.09,15.24,17.79,Setúbal,Portugal
38.5,-7.5,8.62,11.04,11.94,13.84,21.26,23.36,29.37,26.89,22.35,20.41,14.02,12.73,17.99,Évora,Portugal
39,-7.5,7.16,9.82,11.07,12.91,20.31,22.64,29.09,26.59,21.62,19.25,12.86,11.9,17.1,Portalegre,Portugal
39,-8.75,9.4,11.54,12.88,14.42,20.24,21.34,25.56,23.57,21.68,19.42,14.6,13.8,17.37,Santarém,Portugal
39.5,-8.75,9,11.24,12.36,13.68,19.11,20.09,23.95,22.35,20.71,18.53,14.07,13.22,16.53,Leiria,Portugal
40,-6.875,6.13,9.48,10.15,12.16,20.02,23.49,30.4,28.26,21.06,18.05,11.35,10.06,16.72,Castelo Branco,Portugal
40,-8.125,6.98,9.52,10.14,11.83,18.44,19.97,25.82,24.16,19.49,17.47,11.5,10.85,15.51,Coimbra,Portugal
40.5,-6.875,4.27,7.17,7.57,9.52,16.97,19.96,26.81,25.47,18.09,15.75,9.08,8.02,14.06,Guarda,Portugal
40.5,-8.125,7.38,10.09,10.55,12.12,19.57,20.5,26.34,24.82,19.7,17.86,11.6,10.98,15.96,Viseu,Portugal
40.5,-8.75,10.52,12.04,12.82,13.59,18.73,19.43,22.93,21.39,20.32,18.42,14.62,13.72,16.54,Aveiro,Portugal
41.5,-6.875,4.48,7.36,8.49,10.5,18.65,21.12,26.97,26.19,19.01,16.17,9.27,7.92,14.68,Bragança,Portugal
41.5,-7.5,4.15,6.97,8.14,10,17.45,19.74,25.77,25.24,18.45,15.67,9.22,7.98,14.06,Vila Real,Portugal
41.5,-8.125,5.72,8.31,9.11,10.94,18.05,19.12,24.84,23.79,18.5,16.3,10.3,9.33,14.53,Braga,Portugal
